,Marriage age women,Marriage age men,DV incidents women,DV incidents men
Alabama,26.1,27.8,0.31,0.269
Alaska,25.5,28.8,0.5,NaN
Arizona,26.7,28.7,0.365,0.271
Arkanzas,25.1,26.7,0.373,0.356
California,27.9,29.9,0.329,0.273
Colorado,26.5,28.6,0.327,0.286
Connecticut,28.7,30.4,0.329,0.339
Delaware,28.0,29.7,0.349,0.367
Florida,27.7,29.9,0.342,0.246
Georgia,26.8,28.7,0.351,0.399
Hawaii,26.7,28.3,0.357,0.218
Idaho,24.7,26.2,0.293,0.333
Illinois,27.9,29.7,0.377,0.257
Indiana,26.4,28.0,0.404,0.268
Iowa,25.9,27.8,0.313,0.196
Kansas,25.7,27.3,0.29,0.23
Kentucky,25.7,27.4,0.375,0.31
Louisiana,27.3,28.9,0.334,0.284
Maine,27.3,29.2,0.366,0.267
Maryland,28.1,29.9,0.421,0.272
Massachusetts,29.3,30.5,0.317,0.192
Michigan,27.3,29.4,0.418,0.23
Minnesota,26.9,28.9,0.337,0.235
Mississipi,26.3,28.0,0.401,0.258
Missouri,26.5,28.0,0.361,0.404
Montana,26.0,28.4,0.392,0.326
Nebraska,26.0,27.5,0.385,0.261
Nevada,26.6,28.8,0.481,0.309
New Hampshire,27.2,29.5,0.404,0.378
New Jersey,28.6,30.4,0.262,0.293
New Mexico,26.8,28.5,0.344,0.291
New York,29.1,30.6,0.323,0.335
North Carolina,26.6,28.5,0.439,0.193
North Dakota,26.0,27.5,0.253,0.261
Ohio,26.9,28.9,0.356,0.3
Oklahoma,25.2,26.8,0.491,0.407
Oregon,27.1,29.0,0.373,0.336
Pennsylvania,28.0,29.7,0.377,275
Rhode Island,29.0,30.5,0.299,0.193
South Carolina,27.3,28.8,0.415,174
South Dakota,25.8,27.8,0.337,0.302
Tennessee,26.1,27.8,0.4,0.325
Texas,26.1,27.8,0.345,0.351
Utah,23.8,25.9,0.369,196
Vermont,27.8,30.2,0.336,NaN
Virginia,26.3,29.0,0.313,0.221
Washington,26.4,28.5,0.426,0.283
West Virginia,26.0,27.9,0.336,412
Wisconsin,27.0,29.0,0.324,0.23
Wyoming,25.2,26.8,0.358,0.358
